yyyyq,y,dp,dy,ep,bm,ntis,tbl,ltr,tms,dfy,infl,ik
19984,0.07641252193335900,-1.880252199,-1.797944271,-1.513176618,0.173611315,0.020063255,0.0439,-0.015472063,0.0103,-0.0101,0.001833741,0.042801181
19991,0.01477239392727350,-1.893226403,-1.87349365,-1.525260933,0.172897171,0.02067722,0.0444,-0.041296777,0.0148,-0.0091,0.006711409,0.042808565
19992,0.02293387658352050,-1.9214657,-1.893252806,-1.524583141,0.154227447,0.018875065,0.0457,-0.024110627,0.017,-0.0079,0.007272727,0.043164721
19993,-0.03407690930960670,-1.88694906,-1.916399377,-1.465070797,0.163684498,0.020390681,0.0468,-0.004668047,0.0178,-0.0081,0.01022864,0.043583821
19994,0.05266592780418570,-1.944587323,-1.885620104,-1.484319053,0.147167259,0.017900177,0.052,-0.022679643,0.0162,-0.0064,0.00238237,0.042943863
20001,0.00237449093740496,-1.951354096,-1.942769863,-1.468535744,0.149973562,0.018301426,0.0569,0.08832965,0.0049,-0.0069,0.017231135,0.043689945
20002,-0.01894255627531390,-1.939923102,-1.952859451,-1.447408899,0.156777962,0.007141026,0.0569,0.011124841,0.0053,-0.0081,0.007009346,0.04424471
20003,-0.01194558772352560,-1.943870591,-1.949305521,-1.427334368,0.153789463,0.004483859,0.06,0.025360271,0.0012,-0.0073,0.007540603,0.043867036
20004,-0.04245727866538210,-1.909251799,-1.945894409,-1.42169604,0.151851504,-0.002250247,0.0577,0.076740606,-0.0019,-0.0081,0.001727116,0.043168462
20011,-0.06023896407177400,-1.861195029,-1.917279553,-1.407143198,0.133113551,-0.005199539,0.0442,0.012064439,0.0117,-0.0086,0.012643678,0.042056121
20012,0.01916681970642140,-1.892418204,-1.86906931,-1.522200627,0.125209433,0.005042943,0.0349,-0.019451394,0.0241,-0.0079,0.010215664,0.040411927
20013,-0.07237389128936160,-1.82053135,-1.891036068,-1.565485828,0.148628588,0.00865385,0.0264,0.067552254,0.0278,-0.0086,0.001685393,0.039278162
20014,0.04011294380380040,-1.862967423,-1.820420969,-1.667451061,0.131217846,0.013469917,0.0169,-0.021132636,0.0406,-0.0128,-0.00897364,0.037603333
20021,-0.00220042486579930,-1.862982338,-1.863243429,-1.667014107,0.236833402,0.013764069,0.0179,-0.019251299,0.0425,-0.013,0.01188455,0.036381005
20022,-0.06493357546059150,-1.79037455,-1.854533773,-1.568390434,0.266572502,0.027534947,0.017,0.0620574,0.0396,-0.0132,0.006152125,0.035565974
20023,-0.08465140821833670,-1.712682516,-1.796922238,-1.433612187,0.324555155,0.029309111,0.0163,0.123062937,0.0317,-0.0125,0.006114508,0.035079559
20024,0.03131898585608870,-1.738269866,-1.705188151,-1.50364213,0.295385896,0.02573892,0.0119,0.007367745,0.0365,-0.0124,-0.000552486,0.034262111
20031,-0.01676501233328640,-1.71833009,-1.734235892,-1.446758831,0.286117701,0.024101489,0.0113,0.008154918,0.0377,-0.0106,0.018242123,0.034115951
20032,0.05821670531435250,-1.780210591,-1.719912319,-1.450338248,0.254488337,0.001255729,0.0092,0.053525781,0.0353,-0.0122,-0.002714441,0.034742814
20033,0.00846845317732128,-1.778504596,-1.769044639,-1.411884034,0.246541783,0.007320962,0.0094,-0.033174485,0.0429,-0.0107,0.008165487,0.035137256
20034,0.04641613460141080,-1.805898847,-1.758071562,-1.358188017,0.218739865,0.006946096,0.009,-0.017453428,0.0425,-0.0098,-0.004859611,0.03522193
20041,0.00468420263854399,-1.795768201,-1.790222363,-1.335616036,0.281731465,0.012245805,0.0094,0.056824134,0.038,-0.0078,0.016820402,0.034520847
20042,0.00435747938499048,-1.7876651,-1.782059739,-1.307874979,0.279631603,0.014448301,0.0127,-0.052269681,0.0405,-0.0077,0.012273212,0.035050378
20043,-0.01152218967558980,-1.764647746,-1.77476124,-1.285408878,0.289485301,0.009086066,0.0165,0.065746128,0.0323,-0.0081,0.001054296,0.035693317
20044,0.03349985161113060,-1.794733014,-1.758370307,-1.315947053,0.270619243,0.012960211,0.0219,0.016430631,0.0265,-0.0068,0.002106372,0.036040992
20051,-0.01387441721147160,-1.76621057,-1.777585422,-1.292358349,0.319856889,0.009090006,0.0274,0.009494925,0.0214,-0.0066,0.015764582,0.036164849
